Fornavne til mænd pr. 1. januar 2014

Navn	ANTAL
ENRIQUE	58
GEDIMINAS	58
HUY	58
IRENEUSZ	58
KAZIM	58
MAHIR	58
MAHMOOD	58
MALCOLM	58
MUNIR	58
THORSTEIN	58
VINCENZO	58
ABDIFATAH	57
ALEXANDROS	57
AMIT	57
ANDRAS	57
ATLI	57
DANTE	57
DENNY	57
FARIS	57
GUIDO	57
HASHIM	57
JANEK	57
JANNEK	57
JOSIAS	57
JULIO	57
MEMET	57
RIAD	57
SAMMI	57
SERVET	57
SIGGE	57
VINH	57
YNGVE	57
ANDRE'	56
ARNI	56
BATUHAN	56
COSMIN	56
ERSIN	56
GEO	56
GYNTHER	56
JORDAN	56
JUUL	56
KENNEY	56
LARRY	56
MARTYNAS	56
MIRCEA	56
MORITZ	56
PARVIZ	56
TEO	56
THOM	56
VIOREL	56
WASSIM	56
AKBAR	55
ANEL	55
ARTURS	55
BJARKI	55
BOGI	55
CHARLEY	55
DJON	55
EDGARAS	55
EGIDIJUS	55
FELIPE	55
GERTH	55
HEIKO	55
HISHAM	55
LUIGI	55
MARTINS	55
PAUL-ERIK	55
REMZI	55
RINO	55
RODRIGO	55
SHADI	55
ALPER	54
DARREN	54
EIRIK	54
ERNESTO	54
ESBERN	54
HANS-JÜRGEN	54
HIKMET	54
ISMAEL	54
JONNI	54
KASHIF	54
LAWRENCE	54
LINAS	54
MAJED	54
NAEEM	54
NIELS-KRISTIAN	54
RAMESH	54
REDA	54
REINER	54
RUNI	54
SAJAD	54
SALOMON	54
SHAHRAM	54
SOHAIL	54
SULTAN	54
SVEIN	54
TADAS	54
THOMMY	54
XUAN	54
ANIS	53
ARNAR	53
EILER	53
ENZO	53
FEVZI	53
GABOR	53
GOTFRED	53
HAI	53
