Fornavne til kvinder pr. 1. januar 2014

Navn	ANTAL
MARJUN	88
NIKOLA	88
ALFRIDA	87
ANNABEL	87
ARENDSE	87
GÜLSÜM	87
HOUDA	87
LORENA	87
MANAR	87
NATASHIA	87
NAZIA	87
NURTEN	87
SAKINA	87
ZINA	87
CHELINA	86
CHERIE	86
ELLEN-MARGRETHE	86
FRANCISCA	86
GIULIA	86
IRMELIN	86
MARIETTA	86
NIDA	86
SALIHA	86
ANNELENE	85
EMIRA	85
FARZANA	85
HAWA	85
JANINE	85
JUSTINA	85
LITTA	85
RAHMA	85
ROZA	85
SABA	85
DRAGICA	84
HEIDIE	84
INEZ	84
JENNA	84
MARGA	84
MEI	84
OLIWIA	84
ADELINA	83
ALINE	83
ANNA-LOUISE	83
ASIYE	83
BILJANA	83
CATHRIN	83
CHIARA	83
DOROTHEA	83
LILLAN	83
PENILLE	83
TABITHA	83
ANCA	82
ANN-CHRISTINA	82
AZIZA	82
DIANNE	82
DORETE	82
ELEANOR	82
GÜLSEN	82
HELLEN	82
LYA	82
PAOLA	82
SANDI	82
SIENNA	82
WERONIKA	82
YUSRA	82
ZAHIDA	82
ZIA	82
BELMA	81
BRIGITTA	81
CHANNIE	81
GÜL	81
GÜLCAN	81
HAVA	81
KEVSER	81
MIKAELA	81
SOFIE-AMALIE	81
SUZI	81
ZAKIA	81
ALLY	80
ANNE-LIS	80
COCO	80
EJA	80
GIZEM	80
HAMIDA	80
HANIFE	80
JEANNET	80
NASREEN	80
NICOLETA	80
ROSE-MARIE	80
SAMAH	80
STEFFIE	80
YETER	80
ABIGAIL	79
ANITHA	79
APRIL	79
KHALIDA	79
LILIA	79
LOLITA	79
NURIYE	79
OANA	79
SELINE	79
AGDA	78
CILIA	78
CILJE	78
DORETHE	78
KONNI	78
KORNELIA	78
LAN	78
LILA	78
MARGRET	78
NASRA	78
RUBY	78
TAHIRA	78
WICKIE	78
ÅSA	78
ADINA	77
ALETTE	77
ANNABELLE	77
AURORA	77
AYAT	77
BARBRO	77
BATOUL	77
CELESTE	77
CIGDEM	77
FADIA	77
IQRA	77
JENA	77
LEENA	77
MOUNA	77
NATALIJA	77
NURAN	77
NURCAN	77
RENEE	77
SYEDA	77
ALIYA	76
ASYA	76
CAJSA	76
DENISA	76
EMMELINE	76
HADIL	76
MIRJA	76
NEDA	76
OPHELIA	76
SABIHA	76
SALLIE	76
VITTA	76
ANNE-KIRSTINE	75
EGLE	75
ELFRIEDE	75
FARIBA	75
INGEGERD	75
KRISTINNA	75
MEHTAP	75
POULINE	75
RONA	75
SNEZANA	75
TESS	75
ULRIKA	75
YELIZ	75
ZARINA	75
BERNADETTE	74
BILLIE	74
BIRTA	74
CICILIE	74
DUNJA	74
ENYA	74
HANSA	74
HOLLY	74
IDUN	74
KIMMI	74
KITTE	74
NOMI	74
SENGÜL	74
SHABNAM	74
VIGDIS	74
YELVA	74
AMÉLIE	73
AYESHA	73
BEATRIZ	73
DUDU	73
EMMALIE	73
GYRITHE	73
HAZAL	73
INGER-MARGRETHE	73
LAURINE	73
MAKBULE	73
MAYBRIT	73
NOURA	73
RAHIME	73
RAZIA	73
RUKHSANA	73
SAFIYA	73
SHAIMA	73
STEFANIA	73
ZANNE	73
CHANETT	72
CHANTAL	72
CHLOÉ	72
CILIE	72
DEBORA	72
EMILIJA	72
FERIDE	72
HALIMO	72
HULDA	72
LAUREN	72
LUDMILA	72
MAGNY	72
MARGARETHE	72
MIRNA	72
RIM	72
ROJIN	72
SENA	72
SEYMA	72
SHANNON	72
SYNNE	72
TEODORA	72
TUBA	72
ANN-DORTHE	71
ANNELIESE	71
BIRNA	71
EVE	71
HANADI	71
INDIRA	71
LILLIE	71
MAI-BRIT	71
MAUREEN	71
NIVI	71
PRISCILLA	71
RACHIDA	71
THU	71
UZMA	71
AMELIE	70
AMILA	70
BABETTE	70
CLEO	70
GRIT	70
HANAA	70
HAZEL	70
JOANNE	70
KAREN-LISE	70
LAMIA	70
MI	70
NAHID	70
RUTA	70
SLAVICA	70
WAFA	70
ZORICA	70
ABELONE	69
AGNE	69
ANNAGRETHE	69
ANNE-BIRTHE	69
CORINNA	69
ESMERALDA	69
FLEUR	69
GUN	69
GUNNI	69
GYTTE	69
HANIM	69
KATIE	69
MARCELA	69
MARGARETHA	69
RAQUEL	69
RENA	69
RØSKVA	69
STEFANI	69
ANH	68
BOTHILDE	68
CANSU	68
FUNDA	68
GÜLTEN	68
LIZ	68
MAIJA	68
