Efternavne pr. 1. januar 2014

Navn	ANTAL
SAABYE	379
DOHN	378
QUIST	377
SAHL	377
STRAUSS	377
ABILDTRUP	376
HÅKANSSON	376
AYDIN	375
INGERSLEV	375
ROTH	375
MANSOUR	374
SCHÜTT	374
SINDING	374
VELLING	374
BORUM	373
DOLLERUP	373
ØSTER	373
MEINCKE	371
MOLIN	371
BAADSGAARD	370
NØRAGER	370
OFFERSEN	370
ELSBORG	369
KORNUM	369
LODAHL	369
RASHID	369
FALCK	368
FRIEDRICHSEN	368
KLAVSEN	368
KONGSTED	368
SAUER	368
HYTTEL	367
JANTZEN	367
ODDERSHEDE	367
SØEGAARD	367
UDSEN	367
EJSING	366
HEDELUND	366
REINHOLDT	366
SCHUBERT	366
VAMMEN	366
CLEMENSEN	365
DREWSEN	365
NOWAK	365
SCHEEL	365
SKAU	365
KAUR	364
TOFTE	364
AHMADI	363
PRIMDAHL	363
BALTZER	362
MYRUP	362
JUHLER	361
TYCHSEN	361
GAD	359
JÖNSSON	359
LINDBLAD	359
SCHLÜTER	359
BOSERUP	358
DYBDAHL	358
HEIBERG	358
HINGE	358
HORNSTRUP	358
TANDRUP	358
ANKERSEN	357
ARSLAN	357
AZIZ	357
BASTHOLM	357
KAMSTRUP	357
MEHLSEN	357
SKYUM	357
SPANGGAARD	357
SØBORG	357
ARENTOFT	356
BAUNSGAARD	356
FRANTZEN	356
HVAM	356
MOHAMUD	356
BLICHFELDT	355
GRAFF	355
CETIN	353
JONASSON	353
KIEL	353
UHRENHOLT	352
SØNDERGÅRD	351
BRØNNUM	350
SCHWARZ	350
THEILGAARD	350
DYBDAL	349
ENGELBRECHT	348
NYEGAARD	348
WORSØE	348
FUGL	347
NØRHOLM	347
OBEL	346
SINDBERG	346
SKIBSTED	346
FLYVHOLM	345
FRØSLEV	345
SKOVBO	345
VISSING	345
ILLUM	344
HASAN	343
HVIDTFELDT	343
HYLDAHL	343
PIND	343
ENGGAARD	342
KROHN	342
LAGONI	342
MAAGAARD	342
SHARIF	342
FOGTMANN	341
FRAHM	341
HOANG	341
LUNDQUIST	341
AGERGAARD	340
GODIKSEN	340
LANGVAD	340
ROSS	340
KALTOFT	339
BRIXEN	338
HASS	338
VANDBORG	338
KONGSTAD	337
KORKMAZ	337
RAMSING	337
BODILSEN	336
EBDRUP	336
GLEERUP	336
MATHISEN	336
SABROE	336
BLÆSBJERG	335
GRØNNE	335
HEEGAARD	335
JONES	335
KÆRGAARD	335
SØBERG	335
THOLSTRUP	335
STARUP	334
WINDING	334
DALUM	333
MILLING	333
RICHARDT	333
THOSTRUP	333
THRYSØE	333
BIRKHOLM	332
BROWN	332
DAHLMANN	332
FRIBORG	332
HØJMARK	332
PLUM	332
SKJOLDBORG	332
TOUGAARD	332
BIRKELUND	331
DEVANTIER	331
HAGEDORN	331
SANDGAARD	331
ELIASSEN	330
ERNSTSEN	330
HEDEMANN	330
HJERRILD	330
RUBY	330
THULSTRUP	330
BIRKEDAL	329
ENGHOLM	329
JUNCKER	329
KOYUNCU	329
AASKOV	328
SANDHOLM	328
SØDERBERG	328
ISSA	327
KRAFT	327
WISSING	327
BENNETZEN	326
BROCK	326
KAMPMANN	326
LANGGAARD	326
LØNBORG	326
SECILMIS	326
BORGSTRØM	325
MATTSSON	325
VIG	325
WILSON	325
BOE	324
HESS	324
MERTZ	324
BOHN	323
BØRRESEN	323
DYHRBERG	323
FLENSBORG	323
GJELSTRUP	323
HØYBYE	323
NAGEL	323
RIISAGER	323
SAID	323
CLEMENT	322
HEBSGAARD	322
MULVAD	322
PEITERSEN	322
MÅRTENSSON	321
RIISGAARD	321
STISEN	321
BJØRKLUND	320
BLACH	320
FOLKMANN	320
GODTFREDSEN	319
KYHL	319
HENRICHSEN	318
HOLMEN	318
MERRILD	318
SJØGREN	318
STENGAARD	318
FABRIN	317
FRØSIG	317
GROVE	317
HØJEN	317
MARKVARDSEN	317
VENG	317
BIBI	316
COLDING	316
LINNEMANN	316
TEILMANN	316
BØJE	315
GREISEN	315
SCHILLING	315
SCHNOOR	315
FRUERGAARD	314
LYCK	314
RYSGAARD	314
SCHYTTE	314
SOLBERG	314
SOMMERLUND	314
GALSGAARD	313
PLESNER	313
VOGT	313
AARESTRUP	312
BROK	312
GODSKESEN	312
GRANN	312
GYDESEN	312
HARTUNG	312
KEKEC	312
TRIER	312
AUTZEN	311
BERNER	311
COSKUN	311
HANGAARD	311
DEVECI	310
FELDT	310
GROSEN	310
LINDQUIST	310
NYKJÆR	310
RISOM	310
ROTHMANN	310
SODE	310
SVARRER	310
UDENGAARD	310
HEIDEMANN	309
RYDAHL	309
AMMITZBØLL	308
BOMHOLT	308
LUNDBY	308
NORMANN	308
BAHNSEN	307
BARAN	307
ANKERSTJERNE	306
BAGGESEN	306
BONNESEN	306
HUANG	306
KRUUSE	306
KØSTER	306
LUNDIN	306
OKHOLM	306
SKOVMAND	306
BARSLUND	305
MARIAGER	305
NOE	305
QVISTGAARD	305
SIMSEK	305
WALLIN	305
JAHN	304
KAUFMANN	304
LØGSTRUP	304
SKOVLUND	304
STRANDGAARD	304
TRUONG	304
BONDERUP	303
BØTTCHER	303
GARDE	303
KOC	303
STUHR	303
EGGERTSEN	302
EVERS	302
KVISTGAARD	302
PLOUGMANN	302
STENBERG	302
THAARUP	302
WESTPHAL	302
BACK	301
ENGELL	301
GOSVIG	301
ISAGER	301
KOUSGAARD	301
TAS	301
BIE	300
FAABORG	300
KJØLBY	300
AASTRUP	299
BALLEGAARD	299
GAMBORG	299
KALLESTRUP	299
PHAN	299
SIGAARD	299
STAUN	299
ASLAM	298
BERGHOLDT	298
BRENDSTRUP	298
HUUS	298
KLEIST	298
SEJR	298
THORNING	298
ABDULLAH	297
BÆRENTZEN	297
INGEMANN	297
ERBS	296
GULDMANN	296
HAGEMANN	296
MOESTRUP	296
SKOTTE	296
TRANS	296
GASHI	295
MUNDT	295
PALUDAN	295
SKOVDAL	295
SPARRE	295
TAYLOR	295
AAMAND	294
FAURHOLT	294
GLAD	294
HAASE	294
KJELGAARD	294
OTZEN	294
UTH	294
FRISCH	293
KASTBERG	293
LIPPERT	293
LYNGHOLM	293
VASE	293
BLOK	292
KOUSTRUP	292
RUDBECK	292
SCHJØTT	292
VALBJØRN	292
BRØCHNER	291
GULDHAMMER	291
HONORE	291
HØJSGAARD	291
KAALUND	291
KLINGENBERG	291
KONGSGAARD	291
LEVIN	291
LINNEBJERG	291
NIELSSON	291
ROSENQVIST	291
STAUGAARD	291
THORN	291
BORRING	290
GUDMUNDSSON	290
HOLMSTRØM	290
NYBERG	290
RØN	290
VOETMANN	290
WU	290
BRINCK	289
BROHOLM	289
FRYDENLUND	289
HEITMANN	289
KIBSGAARD	289
PEJTERSEN	289
SVEJSTRUP	289
AWAD	288
EKELUND	288
MAURITZEN	288
SANDHOLDT	288
STIDSEN	288
JUNGERSEN	287
SKJÆRBÆK	287
SØLVSTEN	287
ANTHONSEN	286
AZIZI	286
FREDENSBORG	286
FRØKJÆR	286
JULIUSSEN	286
MANDRUP	286
ROOS	286
VARMING	286
BRUNSGAARD	285
FRAUSING	285
FRIMANN	285
HANNIBAL	285
HENTZE	285
NYBY	285
AABERG	284
BACHE	284
BYRGESEN	284
KIKKENBORG	284
SAABY	284
STEENHOLDT	284
WIBORG	284
LIE	283
LØKKEGAARD	283
YÜKSEL	283
BIRKMOSE	282
BRINKMANN	282
BURMEISTER	282
BØNDERGAARD	282
DAHLSTRØM	282
FLARUP	282
HOLMEGAARD	282
ILSØE	282
ROUSING	282
VEJE	282
BRAMMER	281
BØGE	281
DUCH	281
IWERSEN	281
KLINDT	281
KÆR	281
LAULUND	281
MAJGAARD	281
MARQUARDSEN	281
STEPHENSEN	281
ESTRUP	280
HAGELSKJÆR	280
JONASEN	280
LEVINSEN	280
SKJØTH	280
STENHOLT	280
YANG	280
ÖZCAN	280
ARENTSEN	279
ASHRAF	279
FICH	279
GADEBERG	279
LÆRKE	279
RATHJE	279
RIEDEL	279
AHM	278
ALBRECHT	278
BARRETT	278
BRYLD	278
HAMAD	278
INGVARDSEN	278
RAVNBORG	278
SCHELDE	278
BONNICHSEN	277
CORTSEN	277
DIETZ	277
DO	277
DYRING	277
EG	277
HAGENSEN	277
KIERKEGAARD	277
MEINERTZ	277
MELIN	277
SIGGAARD	277
STJERNHOLM	277
BUNDESEN	276
ENGELUND	276
GRAAE	276
LJUNGBERG	276
MAI	276
SEEBERG	276
AL-BADRI	275
BANGSGAARD	275
BERGGREEN	275
CHRISTESEN	275
KJEMS	275
KOLIND	275
MALM	275
MONBERG	275
MONDRUP	275
